time,open,high,low,close,tick_volume,spread,real_volume
2024-07-08 14:09:00+00:00,104.485,104.49,104.485,104.49,6.0,22,0.0
2024-07-08 14:10:00+00:00,104.49,104.495,104.485,104.495,13.0,22,0.0
2024-07-08 14:11:00+00:00,104.495,104.495,104.49,104.49,9.0,22,0.0
2024-07-08 14:12:00+00:00,104.49,104.49,104.48,104.485,18.0,22,0.0
2024-07-08 14:13:00+00:00,104.48,104.49,104.48,104.49,5.0,22,0.0
2024-07-08 14:14:00+00:00,104.49,104.49,104.49,104.49,4.0,22,0.0
2024-07-08 14:15:00+00:00,104.495,104.5,104.495,104.5,9.0,22,0.0
2024-07-08 14:16:00+00:00,104.505,104.515,104.505,104.51,27.0,22,0.0
2024-07-08 14:17:00+00:00,104.515,104.515,104.5,104.505,18.0,22,0.0
2024-07-08 14:18:00+00:00,104.505,104.505,104.495,104.505,10.0,22,0.0
2024-07-08 14:19:00+00:00,104.495,104.495,104.49,104.49,4.0,22,0.0
2024-07-08 14:20:00+00:00,104.495,104.505,104.495,104.5,19.0,22,0.0
2024-07-08 14:21:00+00:00,104.495,104.5,104.49,104.5,8.0,22,0.0
2024-07-08 14:22:00+00:00,104.495,104.505,104.495,104.5,6.0,22,0.0
2024-07-08 14:23:00+00:00,104.495,104.495,104.49,104.495,8.0,22,0.0
2024-07-08 14:24:00+00:00,104.5,104.505,104.495,104.505,19.0,22,0.0
2024-07-08 14:25:00+00:00,104.505,104.515,104.5,104.515,14.0,22,0.0
2024-07-08 14:26:00+00:00,104.515,104.515,104.51,104.515,14.0,22,0.0
2024-07-08 14:27:00+00:00,104.51,104.53,104.51,104.53,34.0,22,0.0
2024-07-08 14:28:00+00:00,104.525,104.525,104.52,104.52,8.0,22,0.0
2024-07-08 14:29:00+00:00,104.525,104.535,104.525,104.525,209.0,22,0.0
2024-07-08 14:30:00+00:00,104.525,104.53,104.51,104.53,20.0,22,0.0
2024-07-08 14:31:00+00:00,104.53,104.545,104.53,104.545,28.0,22,0.0
2024-07-08 14:32:00+00:00,104.54,104.545,104.535,104.54,35.0,22,0.0
2024-07-08 14:33:00+00:00,104.54,104.545,104.535,104.535,34.0,22,0.0
2024-07-08 14:34:00+00:00,104.54,104.545,104.54,104.54,4.0,22,0.0
2024-07-08 14:35:00+00:00,104.54,104.555,104.54,104.555,49.0,22,0.0
2024-07-08 14:36:00+00:00,104.555,104.56,104.55,104.55,57.0,22,0.0
2024-07-08 14:37:00+00:00,104.55,104.55,104.54,104.54,14.0,22,0.0
2024-07-08 14:38:00+00:00,104.535,104.535,104.535,104.535,7.0,22,0.0
2024-07-08 14:39:00+00:00,104.535,104.535,104.535,104.535,4.0,22,0.0
2024-07-08 14:40:00+00:00,104.535,104.535,104.525,104.525,5.0,22,0.0
2024-07-08 14:41:00+00:00,104.535,104.535,104.525,104.53,8.0,22,0.0
2024-07-08 14:42:00+00:00,104.535,104.54,104.535,104.54,15.0,22,0.0
